1950,161
1951,175
1952,100
1953,118
1954,203
1955,179
1956,508
1957,412
1958,473
1959,830
1960,727
1961,623
1962,842
1963,905
1964,729
1965,933
1966,932
1967,916
1968,930
1969,1247
1970,1110
1971,1202
1972,1938
1973,1762
1974,1389
1975,1806
1976,1985
1977,1962
1978,1923
1979,2106
1980,2119
1981,1897
1982,1754
1983,1977
1984,2571
1985,2596
1986,2727
1987,3314
1988,4545
1989,5095
1990,7453
1991,8380
1992,9639
1993,11017
1994,14130
1995,17417
1996,17840
1997,20229
1998,21013
1999,25931
2000,30575
2001,29378
2002,30861
2003,34996
2004,38696
2005,49977
2006,56945
2007,56287
2008,50475
2009,45563
2010,44550
2011,45642
2012,45108
2013,49048
2014,45005
2015,46558
2016,47427
2017,51308
2018,56167
2019,67276
2020,69726
